Local ID	Other Protein ID	Profile superfamily	Profile ID	E-value	Identity cluster	Order of leaves in full sequence tree	Superclusters based on CARF/SAVED domain tree	Final group assignments	Genome Name	Protein Length	CDD asignments, automatic with E-value 0.0001 (CARF only)	Domain organization	TMHMM result	Current genbank annotation	Potential Ring Nucleases	RN group
MK_CARF_00011497	WP_014788072.1	CARF	CARF.89.FASTA	3.18E-57	3606	2524	CL1_CARF	CARF_m1	Thermococcus cleftensis	160		CARF		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00101059	YP_006424225.1	CARF	CARF.89.FASTA	3.18E-57	3606	2525	CL1_CARF	CARF_m1	Thermococcus cleftensis	160		CARF		hypothetical protein CL1_0219	RN(1)	RN_2_5
MK_CARF_00011498	WP_088864412.1	CARF	CARF.89.FASTA	3.18E-57	1115	2526	CL1_CARF	CARF_m1	Thermococcus barossii	160		CARF		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00011442	WP_088180185.1	CARF	CARF.89.FASTA	3.89E-58	2701	2527	CL1_CARF	CARF_m1	Thermococcus sp. 5-4	160		CARF		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00011410	WP_088866426.1	CARF	CARF.89.FASTA	6.76E-59	2988	2528	CL1_CARF	CARF_m1	Thermococcus radiotolerans	160		CARF		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00011453	WP_014012159.1	CARF	CARF.89.FASTA	5.53E-58	657	2529	CL1_CARF	CARF_m1	Thermococcus sp. 4557	160	cd09747	CARF		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00100844	YP_004762151.1	CARF	CARF.89.FASTA	5.53E-58	657	2530	CL1_CARF	CARF_m1	Thermococcus sp. 4557	160	cd09747	CARF		hypothetical protein GQS_02865	RN(1)	RN_2_5
MK_CARF_00011488	WP_088856225.1	CARF	CARF.89.FASTA	2.31E-57	233	2531	CL1_CARF	CARF_m1	Thermococcus siculi	161		CARF		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00011537	WP_088854172.1	CARF	CARF.89.FASTA	2.68E-56	1441	2532	CL1_CARF	CARF_m1	Thermococcus pacificus	161	cd09747	CARF		hypothetical protein	RN(0)	RN_2_5
MK_CARF_00011538	WP_099212450.1	CARF	CARF.89.FASTA	2.86E-56	4431	2533	CL1_CARF	CARF_m1	Thermococcus sp. EXT12c	163		CARF		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00011515	WP_042693098.1	CARF	CARF.89.FASTA	7.05E-57	220	2534	CL1_CARF	CARF_m1	Thermococcus nautili	163		CARF		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00011520	WP_050003299.1	CARF	CARF.89.FASTA	1E-56	687	2535	CL1_CARF	CARF_m1	Thermococcus eurythermalis	163		CARF		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00011338	WP_012571421.1	CARF	CARF.89.FASTA	3.28E-60	3561	2536	CL1_CARF	CARF_m1	Thermococcus onnurineus	164		CARF		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00100357	YP_002306846.1	CARF	CARF.89.FASTA	3.28E-60	3561	2537	CL1_CARF	CARF_m1	Thermococcus onnurineus NA1	164		CARF		hypothetical protein TON_0464	RN(1)	RN_2_5
MK_CARF_00011351	WP_068666578.1	CARF	CARF.89.FASTA	4.66E-60	3057	2538	CL1_CARF	CARF_m1	Thermococcus piezophilus	164		CARF		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00011256	WP_055428620.1	CARF	CARF.89.FASTA	1.75E-61	404	2539	CL1_CARF	CARF_m1	Thermococcus thioreducens	160	cd09747	CARF		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00011505	WP_088863610.1	CARF	CARF.89.FASTA	6.41E-57	104	2540	CL1_CARF	CARF_m1	Thermococcus celer	160	cd09747	CARF		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00011683	WP_014121852.1	CARF	CARF.89.FASTA	7.66E-53	544	2541	CL1_CARF	CARF_m1	Thermococcus sp. AM4	158		CARF		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00100875	YP_004885411.1	CARF	CARF.89.FASTA	7.66E-53	544	2542	CL1_CARF	CARF_m1	Thermococcus sp. AM4	158		CARF		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00011645	WP_015858943.1	CARF	CARF.89.FASTA	1.67E-53	2183	2543	CL1_CARF	CARF_m1	Thermococcus gammatolerans	154	cd09655	CARF		hypothetical protein	RN(1)	RN_2_5
MK_CARF_00100447	YP_002959695.1	CARF	CARF.89.FASTA	1.67E-53	2183	2544	CL1_CARF	CARF_m1	Thermococcus gammatolerans EJ3	154	cd09655	CARF		hypothetical protein TGAM_1329	RN(1)	RN_2_5
MK_CARF_00011601	WP_062373707.1	CARF	CARF.89.FASTA	2.1E-54	4534	2545	CL1_CARF	CARF_m1	Thermococcus guaymasensis	155		CARF		hypothetical protein	RN(1)	RN_2_5
